rachmaniea_aisyach || Dil  lu kaga nonton timnas lu malem ini   ih gua nungguin pakmuhh si
yukimkim_wn || Pak Muh mna g nonton bolaaa
tisnawati02 || Pak Muh ga nonton bolaaaa??
octsye || Bapak kita mana bang ko tumben gak nonton bola 😂
ftmh.zska || Endingnya disembur 🤣🤣🤣
maulinadwisusanti || 🤣
erlindads_ || Ya Allah😭🤣🤣
va_abdun.najib29 || 😂😂😂
fifa.worldcup_id || Puaaass banget disemburr😭
rist.zazy || @sarawijayanto nyai cbo ajak padil uji nyali😂
indahfebiolaaaa || 🤣🤣🤣🤣
uwinfly_jabodetabek || Suka bgt endingnya🥰
risvyauldyazs || Keburu kesurupan 😭
noinin_alainn || 🤣🤣🤣🤣
mirzandaaa || 😂😂😂😂
dewicinda || 😭😭
ryfryf_ || 😭😭😭
isnalagi || 😂😂😂😂😂
krniaaa__ || Ada aja tingkah nyaa😭😭
mnrafi86 || katakan puas... katakan puassss🤣🤣🤣
lindahandd || 🤣🤣🤣🤣🤣
octifiarni || puas banget yang terakhir😭
_vinavvv || 😭😭😭
sekarrifdahw || Sembur lagi pak Muh🗿🤤
ajjherpan24_ || Ka @sarawijayanto ada yang mau di undang nih.. 😂
aumytiaaaa || WKWKWKWKWKWKWKWK
bbergummy || 😂
wulan.bilalrasyid17 || Mana video reaction nonton timnas semalem dilll 😩
zumrotunisaa || Ada aja idenya🤣
nadxxssy || Di dalam gelap. Tetep kliatannya botaknya 😂😂😂
sucirini_1718 || Part pas "Pak Muh lewat itu" tuh ntah kenapa part ter lucu banget 😂
iznanurdianty || kak ini pak muh sama fadil aja penelusuran aja 🤣🤣 @sarawijayanto @diarymisterisara
indh_os || Masyallah pak mu mau"aja di suruh ama kk @fadiljaidi
asyazn275 || 😂😂😂 fadil ono wae
juzophie || Pas di sembur sam pa muh asa puas pisan 🤣🤣🤣
rosnawatari || 🤣🤣🤣
lin.ulin_ || 🤣🤣😮
nurlailah9657 || Suara pak mo🤣🤣
nurlailah9657 || 😭😭😂😂🤣🤣
dvintansari || 😭
rhenafsr || Di sembur langsung ga jadi kesurupan nya
irmayuliaalfarabi || 🤣🤣🤣🤣
rinisetya.15 || keren ih collab sama meta😭
auraimaa || Ajak collab aja nih kak @diarymisterisara @sarawijayanto
zulfa.annissa || 🤣🤣
widyanurul99 || 🤣🤣🤣🤣🤣
fenquotes || 🤣🤣🤣🤣🤣
marthalina_0 || 😭kocak ih
siinaisah || 🤣
lilissy15 || Gajelas tapi gw nonton sampe akhir
mrl_liaa || 😭😭😭😂😂😂😂😂😂😂😂😂
lista_gemoy || 😂
mrlnwndsr || 😂😂😂
mhmmdr21__ || anjaiii
mhmmdr21__ || 😂😂😂
amriginting17 || AHAHAHAHAHA
geminiclove || 😂😂😂😂😂
2ndnfiitra || 😭😭😭
aflvdel || 😂😂
jennndra_20 || 😂
ahmadfzi18 || dilll😭😭
_8utterflyy || 😂
anita_rskn || 😂😂😂
rioo021_ || dil yang bener si dil
rosiiiposie || 😭😭😭😭😭
viafranciska_ || yahmarrr
_kyutipaiii_ || "Selamat.. Menjalankan uji nyali" 😭😭😭
lmfkht_ || 😭
sellalailaa || 😂😂😂
soklia11 || 😂😂😂
saskiafutriani || 😂😂😂😂
putrinilamsr_ || biasanya kl dibecandain gini besok nya diusilin bnrn dil😂
adistiyot || 😂😂
habibhusin22 || 😭🤣
fnslmy_ || 😭😭😭😭
ccayumentari || Kenapa sih😩😩
putritrimaharanii || Hahha yang bener aja tuh kisah nyata nihh wkwk
riko_dwn || 😂😂😂
geetakoe || Seketika pak Muh punya indra ke 7 😂😂
videlisdie || WKWKWK disembur donh😂😂😂😂
annisawidhiastu || 😂
mrymhm_ || Mau nyalahin anaknya tp ternyata bapaknya ya se frekuensi 😩
